,sentence,labels,ranges
0,i understand how frustrating this is. i am collecting your feedback in hopes that enough people saying it will help with improving that app and bringing it back. - kb,,
1,here’s what you can do to work around the issue until it’s fixed in a future software update:,,
2,is this your idea of fresh? i also just had 2 short dated meats and double the finder ordered. centre staff were rude and unhelpful.,,
3,"i'm in mexico, none of the phone numbers are going through. i also have insurance of my flight.",,
4,see wot i mean ???,,
5,and why is there no option to turn it off?,,
6,"option 4 didn’t work either, it says i would need to send it in for service, however, what if i bought it used?",,
7,we advise customers to avoid posting personal information via a public forum. get in touch using the link we provided. ^ bm,,
8,"let's see how we can help with this. are you turning cellular data off in settings &gt; cellular? let us know more in dm, please.",,
9,you can apply for compensation here if you had a seat reserved and had to stand. apologies again - josh,josh,"[[99, 103]]"
10,we'd be happy to look into this issue for you. please dm us your full service address. thank you. - lindsey,lindsey,"[[100, 107]]"
11,here’s what you can do to work around the issue until it’s fixed in a future software update:,,
12,you may dial *555*1# to activate the double delight offer to enjoy bonuses on weekly and monthly data bundles purchased.,,
13,hi andrew. this is great to hear. which train was this and is this referring to any staff in - particular please? - josh,"andrew, josh","[[3, 9], [116, 120]]"
14,"hi there! for assistance please follow us and send us a direct message, we look forward to your reply.",,
15,i meant service but lol. and i got a really rude rep on the phone 🙃,,
16,nora culik,nora culik,"[[0, 10]]"
17,i told employees i had medication i needed in my bag and they still made me check. calling my attorney the minute i get off flight!,,
18,"we request you to share your alternate contact number to connect with you and resolve the issue at the earliest rgds,sneha",sneha,"[[117, 122]]"
19,help!!!,,
20,please reply as a direct message so that i can assist you better. regards ^ sanal...2/2,,
21,good luck! alyson,alyson,"[[11, 17]]"
22,@ kimpton hotel palomar phoenix,,
23,hi there. sorry to hear that. do you see an error message or an error code? please provide us more details.,,
24,"i was given a visa gift card, can i use this as a payment option for uber? thanks so much",,
25,yet another late running train after parking up outside oxford. every night now for weeks. sort it out,,
26,owner name and email address so that we can review the details and assist you. refer the link to find tag# ^ pk 2/2,,
27,yes but mine i believe is centurylink but i am getting booted a lot and it takes forever and i feel not getting all my you tube alerts,,
28,good to hear you got your ducks in a row cheers!,,
29,its an unfortunate mistake from your end.. correct it asap,,
30,"that is not expected behavior at all. we're happy you reached out about this issue. please send us a dm with your current location, so we may better assist.",,
31,"i apologize. regretfully, we're unable to assist you with fraud concerns via twitter. ^ b",,
32,is acting crazy right now with these ticket prices for the holidays... 🙅😒 $600 for a flight that’s typ $150,,
33,very poor customer service from the beckton branch. i can list several occasions from myself and others of recieving poor cs.,,
34,not into . did not come to the right part of my complex and left instead of contacting me. then charges for the food.,,
35,already have and the assistance i received was absolutely useless and rude.,,
36,on wat basis cancled? did you cal me? adres verification is don? tried reachng me via other medium? no.no.!tel me y i have 2 use faaltu idea,,
37,i'm very sorry about this steve. can i ask what type of car you drive please so i can let our store... 1/2,,
38,to get approval to order that over this channel i do need a few more steps followed to protect your info *aaronb,,
39,"hi gavin, we're not in a position to replace your usb power pack, as it's your responsibility to adhere to luggage restrictions. ^ 1/2",,
40,do you have the catalogue number please laura? we sell a few models in gold :) - bh,,
41,we understand your frustration. when did you last reach out to the help center for assistance in correcting this issue? - leia,leia,"[[122, 126]]"
42,thanks. the barring has been lifted,,
43,"we've replied via dm, please follow up there.",,
44,thanks! what time do they go on sale? is it midnight? sorry for all the q's!,,
45,"thanks julie, can you let me know which muffins and sugar you were after? were all the muffins and sugar out of stock? chris.","julie, chris","[[7, 12], [119, 124]]"
46,. internet is crawling again. download less than 1 mbps.,,
47,hi 👋 try dialling # #. let us know if this helps 👍,,
48,fix your shit game! downloaded 100 gigs. the game and all dlc. can't play with friend cause your fucking nat type policies,,
49,who wants to be a superhero and save brylee’s day?,,
50,we apologize. please email us more details about your visit to __email__ &amp; we will make it right.,,
51,why people gotta post beautiful vacation pics or videos but don't say where it's at...like maybe i'm tryna vacation there too 😤,,
52,i would love to help you out today. shoot me a dm. i'm here for you! :) *jawedk,,
53,sorry to hear about that. can you dm us the phone number associated with your account so we can look into that for you?,,
54,i've had a look in our stock system and the product is now discontinued. really sorry to disappoint. naomi,naomi,"[[101, 106]]"
55,"hey simon, that doesn't sound right. what device, operating system, and version of spotify is this happening on? we'll lend a hand /sy",simon,"[[4, 9]]"
56,is this a joke to you guys. your driver can abuse can threaten any one of us.,,
57,"hey there, can you please dm us with a full description of the issue you 1 ^ xs",,
58,"thanks for the report, kirill. we'll get this into the backlog to fix. jerry - pm, iaas team","kirill, jerry","[[23, 29], [71, 76]]"
59,my order before dispatch showed expected delivery on wednesday but now it's shifted all the way to monday. help please,,
60,this 11:35 didn’t depart...,,
61,okay thanks. there is a train from waterloo that leaves that 7am that calls at surbiton but there's nothing else on it online.,,
62,hey there! what's happening exactly? we'll see what we can suggest /df,,
63,liking this new train. wish there was still a buffet carriage though.,,
64,flying g - medv,,
65,don't be snitching ant,,
66,"let's continue our conversation in dm where we can investigate further, and offer the most relevant next steps.",,
67,i do apologize for the service issues. could you please follow/dm your full service address or account number so i may assess the situation at this time? thank you! ^ jlm,,
68,facing harassment in correcting name in credit card. citi bank rewards credit card ending with 2147. registered mobile number - 8013837267 registered email id - __email__ wrong name: chandra sadhukhan madhab correct name: chandra madhab sadhukhan,chandra sadhukhan madhab,"[[183, 207]]"
69,fix activation servers please.,,
70,sent dm,,
71,at the weekend. not every product on a friday on prime is for delivery monday,,
72,the button shows but nothing happens?,,
73,i do apologize for the service issues. could you please follow/dm your full service address or account number so ...,,
74,registered owner's name and email address via dm so that we can check and assist you accordingly. 3/4,,
75,how do i make a complaint? i have prime and i was supposed to get a package yesterday but it never came and on the app it says it’s delivered to my house? it’s not here.,,
76,please dm me. ⬇️ this is re a nigerian scammer who contacted me via ebay re a listing. does ebay not care about fraud?,,
77,"iphonex.... i’ve been a loyal o2 customer for years, just wondering what you could do.... 🙌🏼",,
78,pls click below to provide your full name/phone #/zip/acct type should you want help. thank you. ^ nw,,
79,"it has most likely been taken away to reduce lines or make way for other areas of business, but that doesn't mean we still can't get it in for your specifically. let me know if we can help further. thanks - david 2/2",,
80,benefits of flying,,
81,"updated firefox and now streaming won't play. website loads, but videos won't play. any ideas/updates to make it work?",,
82,submission has been completed,,
83,"hi, debbie. our team works to respond to each individual inquiry in the order which they are received. we see your outreach and a member of our team will be following up to assist as soon as possible.",debbie,"[[4, 10]]"
84,i keep getting a call from you guys about a auto accident claim i filed through my insurance usaa. i gave all info needed to,,
85,"hey, you buffoons! where's my refund?!?!?!?!",,
86,we've sent you a dm.,,
87,"i understand if my services were not working properly, i would be upset as well. please send me a direct message (dm) with your account number and i will be able to help you with your services. - chad",chad,"[[196, 200]]"
88,"one more thing, pls i over scrapped card yesterday and i dnt no if i can send the bn number to u.",,
89,this is a copy of the receipt.,,
90,"as per checking , the flight are still operating as per schedule at the moment. did you received any email from us ? - khairul",khairul,"[[119, 126]]"
91,"my boyfriend is meant to be getting the 8,43 from euston to birmingham new st, do you know if this train is cancelled or /1",,
92,i'm sorry for any inconvenience! have we missed the delivery date confirmed via e - mail: ^ gm,,
93,hi. please forward the suspicious e - mail/text to __email__. ^ sp,,
94,is working my last nerve.,,
95,"1/2 hi, sorry to hear this. for assist kindly contact ihg rewards club via i have also taken note",,
96,"didn’t fail just once, twice. your customer service is beyond subpar. i strongly recommend supplementing your training for associates.",,
97,"hello soldier, we can not discussed classified information, keep an eye for the news on twitter pvt ^ jr",,
98,these files are unknown due to less reputation. could you please run 'live update' and restart then perform a full system scan? - karthik,karthik,"[[130, 137]]"
99,"my iphone 6s was working absolutely fine and since i have done the latest upgrade, the phone is awful, nothing works properly?",,
100,i can't remember it sorry i will look for it,,
101,and send us a direct message with your account information so that i can see what's going on. –xg,,
102,it’s been more then a week and still no contact. my warranty allows me to get a new phone but they weren’t able to give it to me.,,
103,if you used your bank card you'd be able to use your bankstate meant as a proof of purchase. thanks - lee 2/2,,
104,please can you dm us the staff members or a description so we can get this sorted. - jenna,jenna,"[[85, 90]]"
105,here’s what you can do to work around the issue until it’s fixed in a future software update:,,
106,😢😭,,
107,trackon courier called &amp; ask me to collect packet from his office!! saying no they said to return..what is this? can't expect this,,
108,i just want mcdonald's chocolate chip cookies 😩😭,,
109,"i am sorry to hear this ryan. can i ask what the tracking states on this order please, you can find this info here: ^ ga",,
110,769 to lhr from oslo,,
111,sorry that we are losing you as a customer. is there anything i can help you with? - kj,,
112,have no fear! we are always looking out. keep checking back for the offer. *melissastephens,,
113,"delays in delivery are the norm now,everytime you order,they wait till you stay in all day,then approx 6 o clock in evening to change date!!",,
114,no problem! feel free to tweet us anytime!,,
115,we only have 1 int. airport in iceland and around 15% of homes were without electricity last night. if you want to be mad be mad at nature.,,
116,would it be okay to pass your contact details to our supplier? ty - emma 3/3,emma,"[[68, 72]]"
117,maybe will reply today.,,
118,and that's being generous in my criticism. satisfaction is 3/10,,
119,i've bought an add - on for black ops iii and it won't work because i hace a region 2 cd and the add - on needs a region 1 cd.,,
120,"we’d love to help with your battery. to start, send us a dm with more details on the behavior you’re experiencing.",,
121,for our on - demand plan we're able to stream past seasons. our portal gun allows us to add new eps with the live tv plan.,,
122,"let's get that service back for you, jon. have you already reported this and received a ticket number? ^ bcw",,
123,hello. can you send over a dm with your account info for review? - ml,,
124,"i'm sorry to hear this, stefan! was the address selected at checkout here: wrong or correct? ^ tm",stefan,"[[24, 30]]"
125,pls dm your confirm # is you still need assistance. 2/2 *tjw,,
126,thanks!,,
127,"hi, chris. your billing policy makes absolutely no sense. even after saying to ""pay in full"" there is never a time your company tries to claim i owe you money. it's insane.",chris,"[[4, 9]]"
128,"about 50 minutes ago i was told to dial the number i've already contacted multiple times. since then, no reply from anyone anywhere.",,
129,i'm afraid compensation is only due on delays of an hour or more. apologies for the delays you experienced today. this service was delayed due to overcrowding. rachel,rachel,"[[160, 166]]"
130,"with your current etd, your connection is still looking good. thanks for your patience today.",,
131,oh no! were you able to follow all the steps listed here: please be sure to let us know! ^ tg,,
132,spotify,,
133,"we can definitely help. when are you getting this particular screen? do you know what version of the ios is on the device? if not, you can check under settings &gt; general &gt; about &gt; version. let us know and we'll get started.",,
134,"thank you for flagging this, could you please share the link to the product page so that we can look into it. ^ mp",,
135,here to help! send us a note here; and our team will be able to assist!,,
136,they've already opened and then closed the tracking report because ups feels there is nothing wrong...,,
137,i'm using an iphone 6 with ios 10.3 &amp; i just updated my spotify app,,
138,please explain why these songs appear twice. this is trash.,,
139,thnk u 4 prompt reply. my continuous interaction with cust care has yielded no results. they told me ystrday tht product has been shipped n today i am being informed it is yet 2 b shipped. purpose of gift is defeated if it does not reach destination by 2moro as i hav a flight,,
140,"started flying delta earlier this year, and so far &gt;&gt;&gt;&gt;&gt;",,
141,"hi catriona, i'm sorry your order home delivery is late this evening. 1/3",catriona,"[[3, 11]]"
142,what happened that caused these feelings? i would like to see if we can review and help (no account numbers). let us know. ^ kj,,
143,yet again ’s terrible app is skipping around and ruining shows,,
144,see? here’s another one. very curious!,,
145,if i do this how do i stop the update downloading again tonight?,,
146,"once you sign in using the link sent by jo, you will see the option to select the issue and how you want to contact us. ^ dd",,
147,thanks shawn! it was last week at the orlando location on colonial blvd near downtown,shawn,"[[7, 12]]"
148,"i probably should have also addressed this to you, and .",,
149,"we don’t like that you’re upset with us, joe. please dm us so we can see what’s going on. ^ sh",joe,"[[41, 44]]"
150,"hi there! if the steps here: don't help, reach out here: so we can investigate.",,
151,you're totally fine! can you click the link and send your flight info? we will get you the confirmation code - jordan,jordan,"[[111, 117]]"
152,"we want you to like us, brittany. what's going on?",brittany,"[[24, 32]]"
153,"the app keeps messing up and not letting me accept calls, now my acceptance rate is low because of it. help!!!!",,
154,"...at so they will further assist you. if you do so, please send us the ticket number so we can follow up!... 2/3",,
155,"hey bill! lets make sure you've got the all the software updates you need, dm us! *melj",bill,"[[4, 8]]"
